id,bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
26892245,2,2,40.69995,-73.91802,2,5,2,0.18,1,0
26893534,2,33,40.70528,-73.934,1,3,7,0.71,1,17
26894016,2,5,40.69239,-73.96538,1,2,4,0.36,1,0
26894122,2,1,40.68489,-73.95096,1,2,19,1.67,1,0
26894687,2,6,40.6776,-73.95094,2,2,12,1.01,2,0
26895166,1,8,40.79424,-73.9429,2,5,4,0.39,1,32
26895277,1,20,40.71194,-73.97792,2,4,6,1.7,1,0
26896131,2,25,40.67262,-73.96286,1,5,2,0.19,1,19
26896460,4,0,40.7648,-73.91174,2,3,7,0.61,2,0
26896906,4,23,40.71446,-73.75968,2,2,21,1.77,2,65
26897811,2,1,40.6903,-73.96008,1,2,0,0.0,1,13
26897821,1,29,40.77076,-73.94757,1,2,8,1.02,1,1
26904628,4,23,40.76005,-73.83447,2,2,21,2.04,1,51
